ID,Запрос,Частотность,Wordstat подтверждён,Исходный запрос,Период,Кластер,Подкластер,Интент,Тип страницы,Продукт,Коммерческий потенциал,Приоритет,Волна,Целевой URL,Статус,Источник,Примечание
450,реестр замечаний — проверка перед подписанием,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Коммерческое исследование,Коммерческая страница,Пакет «Закрытие работ»,5,3,3 — расширение,/proverki/reestr-zamechanii-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
451,реестр замечаний — типовые ошибки,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/reestr-zamechanii-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
452,реестр замечаний — что делать подрядчику,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/reestr-zamechanii-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
453,реестр замечаний — образец документа,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Закрытие работ»,3,3,3 — расширение,/materialy/reestr-zamechanii-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
454,реестр замечаний — сроки и последствия,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/reestr-zamechanii-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
455,реестр замечаний — для субподрядчика,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/reestr-zamechanii-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
456,реестр замечаний — для генподрядчика,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/reestr-zamechanii-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
457,реестр замечаний — пошаговый алгоритм,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/reestr-zamechanii-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
458,реестр замечаний — судебная практика,,Нет,Реестр замечаний,Требует проверки,КС и приёмка,Реестр замечаний,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/reestr-zamechanii-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
459,комплект исполнительной документации — порядок оформления,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
460,комплект исполнительной документации — проверка перед подписанием,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Коммерческое исследование,Коммерческая страница,Проверка исполнительной документации,5,3,3 — расширение,/proverki/komplekt-ispolnitelnoi-dokumentacii-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
461,комплект исполнительной документации — типовые ошибки,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
462,комплект исполнительной документации — что делать подрядчику,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
463,комплект исполнительной документации — образец документа,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,3,3 — расширение,/materialy/komplekt-ispolnitelnoi-dokumentacii-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
464,комплект исполнительной документации — сроки и последствия,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
465,комплект исполнительной документации — для субподрядчика,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
466,комплект исполнительной документации — для генподрядчика,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
467,комплект исполнительной документации — пошаговый алгоритм,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
468,комплект исполнительной документации — судебная практика,,Нет,Комплект исполнительной документации,Требует проверки,Исполнительная документация,Комплект исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/komplekt-ispolnitelnoi-dokumentacii-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
469,акты скрытых работ — порядок оформления,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
470,акты скрытых работ — проверка перед подписанием,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Коммерческое исследование,Коммерческая страница,Проверка исполнительной документации,5,3,3 — расширение,/proverki/akty-skrytyh-rabot-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
471,акты скрытых работ — типовые ошибки,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
472,акты скрытых работ — что делать подрядчику,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
473,акты скрытых работ — образец документа,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,3,3 — расширение,/materialy/akty-skrytyh-rabot-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
474,акты скрытых работ — сроки и последствия,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
475,акты скрытых работ — для субподрядчика,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
476,акты скрытых работ — для генподрядчика,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
477,акты скрытых работ — пошаговый алгоритм,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
478,акты скрытых работ — судебная практика,,Нет,Акты скрытых работ,Требует проверки,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/akty-skrytyh-rabot-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
479,исполнительная схема — порядок оформления,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
480,исполнительная схема — проверка перед подписанием,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Коммерческое исследование,Коммерческая страница,Проверка исполнительной документации,5,3,3 — расширение,/proverki/ispolnitelnaya-shema-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
481,исполнительная схема — типовые ошибки,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
482,исполнительная схема — что делать подрядчику,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
483,исполнительная схема — образец документа,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,3,3 — расширение,/materialy/ispolnitelnaya-shema-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
484,исполнительная схема — сроки и последствия,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
485,исполнительная схема — для субподрядчика,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
486,исполнительная схема — для генподрядчика,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
487,исполнительная схема — пошаговый алгоритм,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
488,исполнительная схема — судебная практика,,Нет,Исполнительная схема,Требует проверки,Исполнительная документация,Исполнительная схема,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/ispolnitelnaya-shema-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
489,общий журнал работ — порядок оформления,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
490,общий журнал работ — проверка перед подписанием,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Коммерческое исследование,Коммерческая страница,Проверка исполнительной документации,5,3,3 — расширение,/proverki/obschii-zhurnal-rabot-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
491,общий журнал работ — типовые ошибки,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
492,общий журнал работ — что делать подрядчику,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
493,общий журнал работ — образец документа,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,3,3 — расширение,/materialy/obschii-zhurnal-rabot-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
494,общий журнал работ — сроки и последствия,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
495,общий журнал работ — для субподрядчика,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
496,общий журнал работ — для генподрядчика,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
497,общий журнал работ — пошаговый алгоритм,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
498,общий журнал работ — судебная практика,,Нет,Общий журнал работ,Требует проверки,Исполнительная документация,Общий журнал работ,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/obschii-zhurnal-rabot-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
499,передача исполнительной документации — порядок оформления,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
500,передача исполнительной документации — проверка перед подписанием,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Коммерческое исследование,Коммерческая страница,Проверка исполнительной документации,5,3,3 — расширение,/proverki/peredacha-ispolnitelnoi-dokumentacii-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
501,передача исполнительной документации — типовые ошибки,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
502,передача исполнительной документации — что делать подрядчику,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
503,передача исполнительной документации — образец документа,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,3,3 — расширение,/materialy/peredacha-ispolnitelnoi-dokumentacii-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
504,передача исполнительной документации — сроки и последствия,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
505,передача исполнительной документации — для субподрядчика,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
506,передача исполнительной документации — для генподрядчика,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
507,передача исполнительной документации — пошаговый алгоритм,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
508,передача исполнительной документации — судебная практика,,Нет,Передача исполнительной документации,Требует проверки,Исполнительная документация,Передача исполнительной документации,Информационный,Статья базы знаний,Проверка исполнительной документации,2,3,3 — расширение,/baza-znanii/peredacha-ispolnitelnoi-dokumentacii-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
509,проверка строительной сметы — порядок оформления,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
510,проверка строительной сметы — проверка перед подписанием,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
511,проверка строительной сметы — типовые ошибки,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
512,проверка строительной сметы — что делать подрядчику,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
513,проверка строительной сметы — образец документа,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
514,проверка строительной сметы — сроки и последствия,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
515,проверка строительной сметы — для субподрядчика,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
516,проверка строительной сметы — для генподрядчика,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
517,проверка строительной сметы — пошаговый алгоритм,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
518,проверка строительной сметы — судебная практика,,Нет,Проверка строительной сметы,Требует проверки,Сметы,Проверка строительной сметы,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/proverka-stroitelnoi-smety-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
519,ошибки в смете — порядок оформления,,Нет,Ошибки в смете,Требует проверки,Сметы,Ошибки в смете,Проблемный информационный,Статья базы знаний,Проверка сметы,4,3,3 — расширение,/baza-znanii/oshibki-v-smete-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
520,ошибки в смете — проверка перед подписанием,,Нет,Ошибки в смете,Требует проверки,Сметы,Ошибки в смете,Коммерческое исследование,Коммерческая страница,Проверка сметы,5,3,3 — расширение,/proverki/oshibki-v-smete-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
